Qubit,,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,Operational
87,,153.0716091318801,177.94440620745954,0.005004883,0.0078125,0.000488281,2584,0.000156414,32,0.000156414,0,0.000156414,0.000156414,86:0.0013891933689350877;88:0.0024024313388404106;97:0.001739952991264837,86:88;88:88;97:88,86:0.0017297993776868026;97:0.0032550574292958545,Yes
88,,394.76089432163667,339.03243294513464,0.009643555,0.005859375,0.010253906,2584,0.000186551,32,0.000186551,0,0.000186551,0.000186551,87:0.0024024313388404106;89:0.0011274323602779024,87:88;89:88,,Yes
89,,443.79113685160945,479.6363009978306,0.002197266,0.002441406,0.002441406,2584,0.000160717,32,0.000160717,0,0.000160717,0.000160717,90:0.0055287545470415755;88:0.0011274323602779024;78:0.0014970566046871858,90:88;88:88;78:88,90:0.016749396916079184;78:0.005891902594945986,Yes
90,,16.64575414352092,31.102846572034007,0.009033203,0.015136719,0.001953125,2584,0.001302903,32,0.001302903,0,0.001302903,0.001302903,89:0.0055287545470415755;91:0.0046547074450040415,89:88;91:88,89:0.016749396916079184;91:0.007262804387685784,Yes
91,,424.8818954517912,313.99614678056395,0.006347656,0.007324219,0.002441406,2584,0.000618126,32,0.000618126,0,0.000618126,0.000618126,98:0.0012116693849034132;90:0.0046547074450040415;92:0.0012841675504654537,98:88;90:88;92:88,98:0.001353736085670465;90:0.007262804387685784;92:0.0022514389304161275,Yes
92,,365.76606832115726,333.6489522786228,0.003295898,0.003417969,0.002929688,2584,0.000259713,32,0.000259713,0,0.000259713,0.000259713,91:0.0012841675504654537;93:0.0013302846019205006,91:88;93:88,91:0.0022514389304161275;93:0.00212214821633111,Yes
93,,251.8714969579158,210.31400038903928,0.002563477,0.006835938,0.002441406,2584,0.000172392,32,0.000172392,0,0.000172392,0.000172392,94:0.0013047098284401926;79:0.0012480277179580113;92:0.0013302846019205006,94:88;79:88;92:88,94:0.001791637179058253;79:0.002158021881148081;92:0.00212214821633111,Yes
94,,396.4957104997515,275.29833266241013,0.004638672,0.005371094,0.00390625,2584,0.000230607,32,0.000230607,0,0.000230607,0.000230607,93:0.0013047098284401926;95:0.0011745233747381123,93:88;95:88,93:0.001791637179058253;95:0.0024977903494457776,Yes
95,,395.0029146,267.8466530369553,0.005004883,0.005371094,0.005371094,2584,,32,,0,,,99:0.0012831890228733323;94:0.0011745233747381123,99:88;94:88,99:0.00720408729402941;94:0.0024977903494457776,Yes
96,,219.5852001,395.2433108270693,0.006713867,0.007324219,0.002929688,2584,0.001085972,32,0.001085972,0,0.001085972,0.001085972,43:00.0,83:88;103:88,43:00.0,Yes
