Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,RX error ,Z-axis rotation (rz) error ,√x (sx) error ,Pauli-X error ,CZ error ,RZZ error ,Gate time (ns),Operational,,RZZ,,CZ,,CZ_cleaned
50,263.6998137,246.7290567,0.014648438,0.017089844,0.012207031,2584,0.00031321,0.00031321,0,0.00031321,0.00031321,50_49:0.00217658313827096;50_51:0.0025276473716795422,50_49:0.0021965711937424748;50_51:0.0027029755408043143,50_49:68;50_51:68,TRUE,,0.002047628,,0.004158909,,
51,184.4827911,358.6208472,0.074462891,0.107421875,0.041503906,2584,0.000290774,0.000290774,0,0.000290774,0.000290774,51_50:0.0025276473716795422;51_52:0.002651688750287262;51_58:0.0029728123212317548,51_50:0.0027029755408043143;51_52:0.006482246576543643;51_58:0.0039109471673205165,51_50:68;51_52:68;51_58:68,TRUE,,1,,1,,
52,163.6317023,151.13117,0.01171875,0.020507813,0.002929688,2584,0.000417101,0.000417101,0,0.000417101,0.000417101,52_51:0.002651688750287262;52_53:0.003900446349199005,52_51:0.006482246576543643;52_53:0.002943887487267094,52_51:68;52_53:68,TRUE,,1,,1,,
53,306.4161886,310.0061028,0.004150391,0.008300781,0,2584,0.000377259,0.000377259,0,0.000377259,0.000377259,53_39:0.003286598625658166;53_52:0.003900446349199005;53_54:0.0028303690112158053,53_39:0.00654541528081537;53_52:0.002943887487267094;53_54:0.0013876543814623776,53_39:68;53_52:68;53_54:68,TRUE,,1,,1,,
54,255.0925538,406.1244156,0.017822266,0.017578125,0.018066406,2584,0.000202238,0.000202238,0,0.000202238,0.000202238,54_53:0.0028303690112158053;54_55:0.00202707696237836,54_53:0.0013876543814623776;54_55:0.0015703498916111724,54_53:68;54_55:68,TRUE,,0.020896973,,0.038755275,,
55,188.8554565,79.11890893,0.003417969,0.006835938,0,2584,0.00012186,0.00012186,0,0.00012186,0.00012186,55_59:0.002179094591858277;55_54:0.00202707696237836,55_59:0.0028357608806766077;55_54:0.0015703498916111724,55_59:68;55_54:68,TRUE,,0.006702121,,0.004653431,,
56,201.3527119,175.5862263,0.007568359,0.014160156,0.000976563,2584,0.000243901,0.000243901,0,0.000243901,0.000243901,56_63:0.006490984035824876;56_43:0.007862464514494572,56_63:0.006265325369144675;56_43:0.0054392672660714125,56_63:68;56_43:68,TRUE,,0.020896973,,0.038755275,,
57,215.1767397,115.2061284,0.026123047,0.025390625,0.026855469,2584,0.000233728,0.000233728,0,0.000233728,0.000233728,57_47:0.0026252124469132165;57_67:0.006548285962401312,57_47:0.0028369493533657864;57_67:1,57_47:68;57_67:68,TRUE,,0.016582265,,0.03817134,,
58,201.4584785,214.7477344,0.027832031,0.032226563,0.0234375,2584,0.000179275,0.000179275,0,0.000179275,0.000179275,58_71:0.0028034509727088985;58_51:0.0029728123212317548,58_71:1;58_51:0.0039109471673205165,58_71:68;58_51:68,TRUE,,0.016582265,,0.03817134,,
59,80.65976901,88.19963898,0.008544922,0.009277344,0.0078125,2584,0.000334605,0.000334605,0,0.000334605,0.000334605,59_55:0.002179094591858277;59_75:0.003149103511306983,59_55:0.0028357608806766077;59_75:1,59_55:68;59_75:68,TRUE,,0.005432419,,0.002360557,,
60,141.4491612,115.4788812,0.008056641,0.012207031,0.00390625,2584,0.000188122,0.000188122,0,0.000188122,0.000188122,60_61:0.008720406989530638,60_61:1,60_61:80,TRUE,,0.007029554,,0.005372504,,
